'voicing','zcr','gt'
0.37002,0.15572,2
0.43285,0.15653,2
0.46589,0.16139,2
0.42895,0.15734,2
0.46776,0.14436,2
0.4692,0.14599,2
0.54441,0.15572,2
0.43451,0.15166,2
0.45938,0.15166,2
0.45167,0.15653,2
0.45538,0.14193,2
0.4577,0.14031,2
0.53073,0.14031,2
0.66045,0.13301,2
0.60809,0.13544,2
0.55662,0.14193,2
0.49432,0.13301,2
0.63116,0.12733,2
0.56529,0.12976,2
0.4775,0.12652,2
0.50226,0.10787,2
0.55668,0.10706,2
0.47721,0.13139,2
0.38806,0.14031,2
0.33558,0.12571,2
0.52323,0.12328,2
0.57362,0.12733,2
0.51254,0.13058,2
0.34329,0.12652,2
0.28382,0.16221,2
0.23154,0.23358,2
0.24384,0.2871,2
0.19796,0.29116,2
0.21619,0.31062,2
0.28528,0.32928,2
0.29342,0.36415,2
0.35853,0.37064,2
0.14566,0.38686,2
0.16974,0.38281,2
0.23042,0.3382,2
0.16405,0.30251,2
0.14641,0.30616,2
0.15947,0.28305,2
0.16345,0.2717,2
0.14002,0.27007,2
0.10177,0.26845,2
0.156,0.26521,2
0.25693,0.24818,2
0.20745,0.22628,2
0.0737,0.21492,2
0.048884,0.18654,2
0,0.18654,2
0.0095986,0.18573,2
0,0.20681,2
0.72337,0.20276,2
0.42946,0.43715,2
0.24807,0.73398,2
0.23138,0.84428,2
0.22968,0.79805,2
0.22636,0.7429,2
0.23557,0.75426,2
0.2114,0.78345,2
0.21977,0.82157,2
0.2143,0.82482,2
0.19807,0.79562,2
0.24256,0.75994,2
0.31962,0.71938,2
0.29071,0.69181,2
0.34915,0.65856,2
0.35924,0.65612,2
0.28752,0.62368,2
0.26441,0.63098,2
0.34735,0.67234,2
0.37272,0.67964,2
0.26936,0.69424,2
0.21055,0.72344,2
0.21654,0.72101,2
0.22352,0.71533,2
0.25288,0.73804,2
0.28906,0.75994,2
0.26772,0.73804,2
0.24974,0.76805,2
0.24365,0.78751,2
0.22877,0.75101,2
0.24669,0.71857,2
0.31879,0.70479,2
0.34243,0.72425,2
0.25086,0.73317,2
0.32528,0.77534,2
0.32036,0.8159,2
0.28815,0.7721,2
0.29208,0.75426,2
0.28985,0.77129,2
0.32253,0.79562,2
0.31434,0.83617,2
0.3428,0.82644,2
0.30181,0.794,2
0.31254,0.80779,2
0.35362,0.84104,2
0.39521,0.88402,2
0.35301,0.91241,2
0.34737,0.91241,2
0.41647,0.90916,2
0.41725,0.89132,2
0.34466,0.82968,2
0.33622,0.73885,2
0.32957,0.588,2
0.307,0.49635,2
0.42835,0.47202,2
0.21507,0.48013,2
0.23038,0.4704,2
0.35044,0.48175,2
0.3627,0.46796,2
0.41815,0.43147,2
0.16896,0.40389,2
0.20365,0.4339,2
0.17939,0.56285,2
0.12648,0.67315,2
0.1505,0.69424,2
0.14666,0.66991,2
0.14246,0.60908,2
0.21833,0.55474,2
0.19396,0.5223,2
0.17569,0.50041,2
0.27585,0.49878,2
0.22565,0.54258,2
0.15321,0.60422,2
0.26954,0.69911,2
0.3636,0.73236,2
0.36036,0.74128,2
0.36442,0.75669,2
0.33709,0.75912,2
0.3176,0.75101,2
0.27556,0.74209,2
0.32763,0.73885,2
0.35904,0.74371,2
0.29111,0.71371,2
0.27787,0.66423,2
0.27159,0.66261,2
0.24796,0.66342,2
0.27637,0.67559,2
0.35823,0.66829,2
0.34442,0.64882,2
0.31838,0.62936,2
0.30247,0.61719,2
0.37194,0.6399,2
0.36047,0.64558,2
0.31974,0.65531,2
0.36102,0.68613,2
0.4047,0.71614,2
0.41061,0.72344,2
0.42291,0.71533,2
0.45065,0.71127,2
0.42027,0.72101,2
0.3887,0.73236,2
0.38648,0.73885,2
0.37879,0.7129,2
0.32519,0.70073,2
0.28989,0.71938,2
0.31267,0.71857,2
0.30561,0.71208,2
0.29809,0.72912,2
0.23453,0.74371,2
0.25575,0.74534,2
0.2398,0.74696,2
0.1575,0.72749,2
0.22393,0.72019,2
0.23158,0.73155,2
0.16647,0.76318,2
0.18676,0.75507,2
0.21914,0.73074,2
0.19564,0.72344,2
0.40537,0.57097,2
0.43959,0.38443,2
0.45252,0.30251,2
0.36245,0.30008,2
0.3687,0.34631,2
0.34855,0.37145,2
0.28034,0.29521,2
0.3341,0.27088,2
0.19074,0.27737,2
0.22732,0.26196,2
0.25705,0.24169,2
0.31506,0.23439,2
0.22833,0.24331,2
0.25599,0.24088,2
0.28006,0.24331,2
0.36054,0.23844,2
0.36502,0.2498,2
0.28769,0.23844,2
0.31332,0.2206,2
0.29465,0.20843,2
0.34859,0.19951,2
0.38354,0.19546,2
0.35269,0.20195,2
0.33088,0.19708,2
0.33077,0.19221,2
0.40223,0.19303,2
0.5025,0.19789,2
0.34529,0.18491,2
0.2555,0.18248,2
0.40448,0.17599,2
0.36274,0.17762,2
0.29618,0.18491,2
0.2894,0.1841,2
0.33924,0.18654,2
0.39607,0.16788,2
0.64263,0.090024,1
